Name,Correspondence Code,Geographic Level,2015 Population,2020 Population
Region I (Ilocos Region),010000000,Reg,"5,026,128","5,301,139"
Region II (Cagayan Valley),020000000,Reg,"3,451,410","3,685,744"
Region III (Central Luzon),030000000,Reg,"11,218,177","12,422,172"
Region IV-A (CALABARZON),040000000,Reg,"14,414,774","16,195,042"
MIMAROPA Region,170000000,Reg,"2,963,360","3,228,558"
Region V (Bicol Region),050000000,Reg,"5,796,989","6,082,165"
Region VI (Western Visayas),060000000,Reg,"7,536,383","7,954,723"
Region VII (Central Visayas),070000000,Reg,"7,396,898","8,081,988"
Region VIII (Eastern Visayas),080000000,Reg,"4,440,150","4,547,150"
Region IX (Zamboanga Peninsula),090000000,Reg,"3,629,783","3,875,576"
Region X (Northern Mindanao),100000000,Reg,"4,689,302","5,022,768"
Region XI (Davao Region),110000000,Reg,"4,893,318","5,243,536"
Region XII (SOCCSKSARGEN),120000000,Reg,"4,545,276","4,901,486"
National Capital Region (NCR),130000000,Reg,"12,877,253","13,484,462"
Cordillera Administrative Region (CAR),140000000,Reg,"1,722,006","1,797,660"
Region XIII (Caraga),160000000,Reg,"2,596,709","2,804,788"
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),150000000,Reg,"3,781,387","4,404,288"
